:START_ID(Owner),:END_ID(Property),:TYPE,ownershipType,ownershipPercentage:float,startDate,endDate,acquisitionPrice:long,isCurrent:boolean,originalJointId,sourceSystem
ENT_003589,1006 0 3,OWNS,PRIMARY,100.0,1955-01-01,,0,True,,ASSESSOR
ENT_002679,1006 0 30,OWNS,PRIMARY,100.0,2024-05-22,,1,True,,ASSESSOR
ENT_005660,1006 0 31,OWNS,PRIMARY,100.0,1973-02-12,,0,True,,ASSESSOR
ENT_005118,1006 0 34A,OWNS,PRIMARY,100.0,2006-10-12,,1,True,,ASSESSOR
ENT_005118,1006 0 35,OWNS,PRIMARY,100.0,2006-10-12,,1,True,,ASSESSOR
ENT_010900,1006 0 37,OWNS,PRIMARY,100.0,2014-10-01,,1,True,,ASSESSOR
ENT_011471,1006 0 38,OWNS,PRIMARY,100.0,2018-12-05,,1,True,,ASSESSOR
ENT_007822,1006 0 39,OWNS,PRIMARY,100.0,2017-07-28,,1,True,,ASSESSOR
ENT_011471,1006 0 39A,OWNS,PRIMARY,100.0,2018-12-05,,1,True,,ASSESSOR
ENT_008275,1006 0 3A,OWNS,PRIMARY,100.0,1955-01-01,,0,True,,ASSESSOR
ENT_011320,1006 0 3B,OWNS,PRIMARY,100.0,1960-11-23,,0,True,,ASSESSOR
ENT_004216,1006 0 4,OWNS,PRIMARY,100.0,2012-12-26,,100,True,,ASSESSOR
ENT_006606,1006 0 40,OWNS,PRIMARY,100.0,2014-10-01,,1,True,,ASSESSOR
ENT_006606,1006 0 41,OWNS,PRIMARY,100.0,2014-10-01,,1,True,,ASSESSOR
ENT_009926,1006 0 42,OWNS,PRIMARY,100.0,2017-01-26,,700000,True,,ASSESSOR
ENT_005852,1006 0 43,OWNS,PRIMARY,100.0,2019-12-30,,1,True,,ASSESSOR
ENT_008912,1006 0 44,OWNS,PRIMARY,100.0,2009-05-26,,300000,True,,ASSESSOR
ENT_008912,1006 0 45,OWNS,PRIMARY,100.0,2010-07-07,,300000,True,,ASSESSOR
ENT_008912,1006 0 46,OWNS,PRIMARY,100.0,2011-03-02,,400000,True,,ASSESSOR
ENT_002952,1006 0 47,OWNS,PRIMARY,100.0,2006-09-29,,525000,True,,ASSESSOR
ENT_000709,1006 0 48,OWNS,PRIMARY,100.0,1967-06-22,,0,True,,ASSESSOR
ENT_010900,1006 0 49,OWNS,PRIMARY,100.0,1955-01-01,,0,True,,ASSESSOR
ENT_005945,1006 0 49A,OWNS,PRIMARY,100.0,2009-08-06,,275000,True,,ASSESSOR
ENT_001396,1006 0 49B,OWNS,PRIMARY,100.0,2019-05-10,,100,True,,ASSESSOR
