relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000078_1012 0 38,1000078,1012 0 38,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412804,ISSUED_FOR
PERMIT_PROP_1000079_2026 0 11,1000079,2026 0 11,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.412904,ISSUED_FOR
PERMIT_PROP_1000080_2030 0 20A,1000080,2030 0 20A,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413000,ISSUED_FOR
PERMIT_PROP_1000081_2049 0 3,1000081,2049 0 3,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413096,ISSUED_FOR
PERMIT_PROP_1000082_2033 0 10,1000082,2033 0 10,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413193,ISSUED_FOR
PERMIT_PROP_1000083_2035 0 37,1000083,2035 0 37,2025-06-12,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413289,ISSUED_FOR
PERMIT_PROP_1000084_1061 0 223,1000084,1061 0 223,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413385,ISSUED_FOR
PERMIT_PROP_1000085_1061 0 223,1000085,1061 0 223,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413482,ISSUED_FOR
PERMIT_PROP_1000086_3021 0 30,1000086,3021 0 30,2025-06-09,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413578,ISSUED_FOR
PERMIT_PROP_1000087_2074 0 28,1000087,2074 0 28,2025-06-11,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413674,ISSUED_FOR
PERMIT_PROP_1000088_1044 0 1A,1000088,1044 0 1A,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.413791,ISSUED_FOR
