relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000142_107480268.0,1000142,107480268.0,2025-06-06,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.530933,WORKED_ON
PERMIT_CONT_1000143_107480268.0,1000143,107480268.0,2025-06-06,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531035,WORKED_ON
PERMIT_CONT_1000144_107480268.0,1000144,107480268.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531134,WORKED_ON
PERMIT_CONT_1000145_107480268.0,1000145,107480268.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531228,WORKED_ON
PERMIT_CONT_1000148_135333268.0,1000148,135333268.0,2025-06-04,BUILDING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531442,WORKED_ON
PERMIT_CONT_1000151_1380153301.0,1000151,1380153301.0,2025-06-06,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531642,WORKED_ON
PERMIT_CONT_1000153_3851342967.0,1000153,3851342967.0,2025-06-04,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531788,WORKED_ON
PERMIT_CONT_1000155_4182638216.0,1000155,4182638216.0,2025-06-05,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.531935,WORKED_ON
PERMIT_CONT_1000156_4182638216.0,1000156,4182638216.0,2025-06-05,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532028,WORKED_ON
PERMIT_CONT_1000158_3566840271.0,1000158,3566840271.0,2025-06-05,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532173,WORKED_ON
PERMIT_CONT_1000159_2864449710.0,1000159,2864449710.0,2025-06-03,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532264,WORKED_ON
PERMIT_CONT_1000160_3020678740.0,1000160,3020678740.0,2025-06-03,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532356,WORKED_ON
PERMIT_CONT_1000161_3384719439.0,1000161,3384719439.0,2025-06-06,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532446,WORKED_ON
PERMIT_CONT_1000165_1206040084.0,1000165,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532697,WORKED_ON
PERMIT_CONT_1000166_1206040084.0,1000166,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532788,WORKED_ON
PERMIT_CONT_1000167_1206040084.0,1000167,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532878,WORKED_ON
PERMIT_CONT_1000168_1206040084.0,1000168,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.532967,WORKED_ON
PERMIT_CONT_1000169_1206040084.0,1000169,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533057,WORKED_ON
PERMIT_CONT_1000170_1206040084.0,1000170,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533147,WORKED_ON
PERMIT_CONT_1000171_1206040084.0,1000171,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533237,WORKED_ON
PERMIT_CONT_1000172_1206040084.0,1000172,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533328,WORKED_ON
PERMIT_CONT_1000173_1206040084.0,1000173,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533420,WORKED_ON
PERMIT_CONT_1000174_1206040084.0,1000174,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533510,WORKED_ON
PERMIT_CONT_1000175_1206040084.0,1000175,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533604,WORKED_ON
PERMIT_CONT_1000176_1206040084.0,1000176,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533693,WORKED_ON
PERMIT_CONT_1000177_3314423634.0,1000177,3314423634.0,2025-06-02,BUILDING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533784,WORKED_ON
PERMIT_CONT_1000178_1206040084.0,1000178,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533874,WORKED_ON
PERMIT_CONT_1000179_1206040084.0,1000179,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.533976,WORKED_ON
PERMIT_CONT_1000180_1206040084.0,1000180,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534067,WORKED_ON
PERMIT_CONT_1000181_1206040084.0,1000181,1206040084.0,2025-06-02,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534157,WORKED_ON
PERMIT_CONT_1000182_2193352416.0,1000182,2193352416.0,2025-06-03,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534247,WORKED_ON
PERMIT_CONT_1000185_190908632.0,1000185,190908632.0,2025-06-02,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534445,WORKED_ON
PERMIT_CONT_1000186_1364332564.0,1000186,1364332564.0,2025-06-02,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.534534,WORKED_ON
